occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2005-03-10,MURDER,Y,2005-03-10 20:16:00,RESIDENCE / HOME,6407 SPRINGDALE RD,78723.0,1.0,CH,4,C,2005-05-10 00:00:00,30.30642702,-97.66943555,2005,3,10,10
2005-03-27,MURDER,Y,2005-03-27 17:23:00,RESIDENCE / HOME,4802 CLARKSON AVE,78751.0,9.0,BA,5,C,2005-04-04 00:00:00,30.30889269,-97.71623123,2005,3,12,27
2005-03-29,MURDER,Y,2005-03-29 19:16:00,RESIDENCE / HOME,2608 LANSBURY DR,78723.0,1.0,ID,4,C,2005-05-24 00:00:00,30.30706241,-97.68217347,2005,3,13,29
2005-04-06,MURDER,N,2005-04-06 19:40:00,RESIDENCE / HOME,2600 GRACY FARMS LN,78758.0,7.0,AD,2,C,2005-07-08 00:00:00,30.40536947,-97.71135613,2005,4,14,6
2005-04-09,MURDER,N,2005-04-09 01:34:00,STREETS / HWY / ROAD / ALLEY,1413 WEBBERVILLE RD,78721.0,1.0,CH,5,C,2005-05-25 00:00:00,30.27962621,-97.68171646,2005,4,14,9
2005-04-18,MURDER,N,2005-04-18 04:57:00,DRUG STORE / DR. OFFICE / HOSPITAL,601 E 15TH ST,78701.0,1.0,BA,1,O,2005-06-01 00:00:00,30.27502739,-97.7337885,2005,4,16,18
2005-04-28,CAPITAL MURDER,N,2005-04-28 20:39:00,STREETS / HWY / ROAD / ALLEY,5600 BLOCK MANOR RD,78723.0,1.0,ID,4,C,2005-09-10 00:00:00,30.30354591,-97.68303081,2005,4,17,28
2005-05-10,MURDER,N,2005-05-10 09:16:00,COMMERCIAL / OFFICE BUILDING,4130 E 12TH ST,78721.0,1.0,CH,4,C,2005-06-15 00:00:00,30.27913944,-97.68730714,2005,5,19,10
2005-05-13,MURDER,Y,2005-05-13 17:08:00,RESIDENCE / HOME,1034 CLAYTON LN,78723.0,1.0,ID,5,C,2005-07-05 00:00:00,30.31954409,-97.70329309,2005,5,19,13
2005-07-22,CAPITAL MURDER,N,2005-07-22 22:56:00,STREETS / HWY / ROAD / ALLEY,7103 TEABERRY DR,78745.0,2.0,FR,3,C,2005-11-22 00:00:00,30.19200302,-97.7895153,2005,7,29,22
2005-08-18,MURDER,N,2005-08-18 22:16:00,RESIDENCE / HOME,2529 RIO GRANDE ST,78705.0,9.0,BA,1,C,2005-10-27 00:00:00,30.29007082,-97.74406687,2005,8,33,18
2005-08-28,MURDER,N,2005-08-28 21:42:00,RESIDENCE / HOME,603 KEMP ST,78741.0,3.0,HE,3,C,2005-09-20 00:00:00,30.23946115,-97.69550247,2005,8,34,28
2005-09-10,MURDER,Y,2005-09-10 20:06:00,RESIDENCE / HOME,3200 S 1ST ST,78704.0,3.0,DA,2,N,2006-01-19 00:00:00,30.23318212,-97.76547683,2005,9,36,10
2005-09-18,MURDER,N,2005-09-18 04:57:00,PARKING LOTS / GARAGE,8220 RESEARCH BLVD SVRD SB,78757.0,7.0,ID,7,C,2005-10-04 00:00:00,30.35482806,-97.71698285,2005,9,37,18
2005-09-20,MURDER,Y,2005-09-20 15:36:00,RESIDENCE / HOME,8604 TALLWOOD DR,78759.0,10.0,BA,8,N,2005-11-23 00:00:00,30.37761036,-97.74918991,2005,9,38,20
2005-09-23,MURDER,N,2005-09-23 16:40:00,STREETS / HWY / ROAD / ALLEY,48 CHICON ST,78702.0,3.0,CH,1,C,2006-05-20 00:00:00,30.25249288,-97.72697251,2005,9,38,23
2005-10-16,MURDER,N,2005-10-16 23:35:00,RESIDENCE / HOME,1907 WEST LOOP,78758.0,4.0,ED,2,N,2005-12-30 00:00:00,30.37210693,-97.7177099,2005,10,41,16
2005-10-31,CAPITAL MURDER,N,2005-10-31 17:35:00,RESIDENCE / HOME,2812 NUECES ST,78705.0,9.0,BA,1,C,2007-04-09 00:00:00,30.29434033,-97.74302687,2005,10,44,31
2005-11-06,MURDER,Y,2005-11-06 06:43:00,RESIDENCE / HOME,4701 MONTEREY OAKS BLVD,78749.0,8.0,DA,6,N,2006-01-06 00:00:00,30.23067868,-97.83921062,2005,11,44,6
2005-12-01,CAPITAL MURDER,N,2005-12-01 04:13:00,RESIDENCE / HOME,6802 ISABELLE DR,78752.0,4.0,ID,8,C,2007-07-12 00:00:00,30.33308908,-97.71414805,2005,12,48,1
2005-12-17,MURDER,N,2005-12-17 14:45:00,STREETS / HWY / ROAD / ALLEY,5000 BLOCK SAVOREY LN,78744.0,2.0,FR,8,C,2005-12-30 00:00:00,30.17204248,-97.75561116,2005,12,50,17
2006-02-16,MURDER,Y,2006-02-16 18:43:00,FIELD / WOODS,8533 COPANO DR,78749.0,8.0,DA,7,C,2006-07-13 00:00:00,30.20449628,-97.85380595,2006,2,7,16
2006-03-18,MURDER,N,2006-03-18 19:19:00,PARKING LOTS / GARAGE,13812 N US 183 HWY SVRD SB,78750.0,6.0,AD,6,,,30.46405061,-97.79618793,2006,3,11,18
2006-03-19,MURDER,N,2006-03-19 04:22:00,RESIDENCE / HOME,1611 W 39TH HALF ST,78756.0,10.0,BA,6,N,2006-04-13 00:00:00,30.30988732,-97.74816955,2006,3,11,19
2006-04-10,MURDER,N,2006-04-11 06:43:00,PARKING LOTS / GARAGE,2525 WALLINGWOOD DR,78746.0,8.0,DA,1,C,2006-05-30 00:00:00,30.26393446,-97.78370712,2006,4,15,10
2006-05-28,MURDER,Y,2006-05-30 17:42:00,RESIDENCE / HOME,7200 BLOCK CREEKSIDE DR,78752.0,1.0,ID,2,C,2006-06-21 00:00:00,,,2006,5,21,28
2006-05-28,MURDER,N,2006-05-28 06:13:00,PARKING LOTS / GARAGE,1110 E OLTORF ST,78704.0,9.0,HE,1,C,2006-09-22 00:00:00,30.23542888,-97.74483187,2006,5,21,28
2006-07-01,MURDER,N,2006-07-01 10:15:00,FIELD / WOODS,3500 MC CALL LN,78744.0,2.0,HE,6,C,2006-09-22 00:00:00,30.20121876,-97.68863075,2006,7,26,1
2006-07-14,MURDER,N,2006-07-14 02:09:00,RESIDENCE / HOME,6113 DUCHESS DR,78724.0,1.0,CH,6,N,2006-07-27 00:00:00,30.28984103,-97.66092422,2006,7,28,14
2006-07-24,MURDER,N,2006-07-24 10:51:00,FIELD / WOODS,200 BASTROP HWY SB,78742.0,3.0,HE,5,N,2016-05-19 00:00:00,30.2423,-97.6901887,2006,7,30,24
2006-08-17,MURDER,N,2006-08-17 20:12:00,SCHOOLS / COLLEGES,5106 VILLAGE SQUARE DR,78744.0,2.0,FR,5,C,2006-10-16 00:00:00,30.1884753,-97.74346839,2006,8,33,17
